split,policy,seed,scope,n_all,all_rmse,all_mae,all_n,all_spearman,all_pearson,n_exact,exact_rmse,exact_mae,exact_n,exact_spearman,exact_pearson,n_threshold_500nm,threshold_500nm_accuracy,threshold_500nm_balanced_accuracy,threshold_500nm_precision,threshold_500nm_recall,threshold_500nm_f1,threshold_500nm_auroc,threshold_500nm_auprc
val,mask_unresolved,42,cross_gene_unresolved,65,1.0800731980966576,0.8452905122763835,65.0,0.7525778263130198,0.8036217277074748,46,1.1113924820214969,0.9045261792109712,46.0,0.7022810769284337,0.7144163145017496,65,0.9230769230769231,0.9261904761904762,0.8787878787878788,0.9666666666666667,0.9206349206349207,0.96,0.9358724091434937
val,mask_unresolved,42,within_gene_unresolved,2,1.4558044767566642,1.4558031260967255,2.0,,,2,1.4558044767566642,1.4558031260967255,2.0,,,2,1.0,0.5,1.0,1.0,1.0,,
val,mask_unresolved,42,unresolved_union,67,1.093160628568671,0.863514769405349,67.0,0.771044753345771,0.8149202350749888,48,1.1278447625837913,0.9274960519978777,48.0,0.7299575312583211,0.7305631888734104,67,0.9253731343283582,0.9272321428571428,0.8857142857142857,0.96875,0.9253731343283582,0.9625,0.9461348338418245
val,mask_unresolved,42,unmapped,617,0.9146195594545132,0.6760025118482171,617.0,0.801077356778322,0.8201553007485205,424,1.037658743828601,0.81689200668051,424.0,0.7188547848535083,0.7369573617079679,617,0.8687196110210696,0.8709530445969125,0.8216783216783217,0.8867924528301887,0.852994555353902,0.9338443396226415,0.8920214706636247
test,mask_unresolved,42,overall,1712,0.979473324627413,0.7473005238364485,1712.0,0.7761410965873741,0.7823155304183312,1400,1.0088161274911334,0.7888802200855155,1400.0,0.7591730931916686,0.7491626454960406,1712,0.842873831775701,0.8400693821451184,0.8041095890410959,0.82328190743338,0.8135828135828135,0.916193893753501,0.8665801296671314
test,mask_unresolved,42,single,754,0.8920096848376594,0.7040550186044341,754.0,0.7560598981164164,0.7842984691549107,676,0.8923745378540309,0.7035749006862119,676.0,0.7537239269379901,0.7737768472801603,754,0.8408488063660478,0.8232304929412997,0.7430830039525692,0.7736625514403292,0.7580645161290323,0.9107374388957342,0.823151481830918
test,mask_unresolved,42,flanks_agree,274,1.1258018181072322,0.8811125642769583,274.0,0.7384548860288724,0.7659688142029355,227,1.1300915317722466,0.9048157925820102,227.0,0.6851292561751231,0.7144617861795602,274,0.8357664233576643,0.8347917679468482,0.86,0.8431372549019608,0.8514851485148515,0.9025819694268892,0.8908821781603856
test,mask_unresolved,42,within_gene_canonical,20,1.1927939674929806,0.7826872006058693,20.0,0.7402896282618004,0.7324012358251751,14,1.0409921937858038,0.7093373558350972,14.0,0.7299476967334695,0.7008959752293277,20,0.8,0.8,0.75,0.9,0.8181818181818182,0.92,0.923531746031746
test,mask_unresolved,42,cross_gene_unresolved,36,0.9939932917393611,0.7928302552964952,36.0,0.7117910043944901,0.6842048699392039,28,0.8736688716946045,0.7321022238050189,28.0,0.7442211577071344,0.7064698410993488,36,0.7222222222222222,0.73125,0.8125,0.65,0.7222222222222223,0.865625,0.8773304379640191
test,mask_unresolved,42,within_gene_unresolved,1,0.1699657440185547,0.1699657440185547,1.0,,,0,,,,,,1,1.0,0.5,0.0,0.0,0.0,,
test,mask_unresolved,42,unresolved_union,37,0.9808670221325071,0.7759960793160103,37.0,0.7195355009568518,0.6954617849905851,28,0.8736688716946045,0.7321022238050189,28.0,0.7442211577071344,0.7064698410993488,37,0.7297297297297297,0.736764705882353,0.8125,0.65,0.7222222222222223,0.8735294117647059,0.8773304379640191
test,mask_unresolved,42,unmapped,627,1.003316447468423,0.738007290624498,627.0,0.772770659619629,0.7812544499241639,455,1.1094265768729255,0.8637206705307567,455.0,0.6613477636187208,0.6800083582008757,627,0.8564593301435407,0.8570557491289199,0.8294314381270903,0.8641114982578397,0.8464163822525598,0.9199579831932773,0.88422946634249
val,mask_unresolved,43,overall,1698,0.9387017390969514,0.6945840764321273,1698.0,0.7820027975922403,0.79430734522375,1391,0.9774912001021168,0.7451700812284677,1391.0,0.7640179856335977,0.7606327778620506,1698,0.8716136631330977,0.8722487004522841,0.8241610738255034,0.8758915834522111,0.8492392807745506,0.9245182051146307,0.8696766999029417
val,mask_unresolved,43,single,737,0.8334559640979798,0.6418946417682935,737.0,0.7971293693557093,0.8080079501177527,675,0.8496833298947181,0.6507079100553637,675.0,0.7827430136458944,0.7917944420888555,737,0.8724559023066486,0.8606652977412731,0.8046875,0.824,0.8142292490118578,0.9213429158110883,0.8614936257100714
val,mask_unresolved,43,flanks_agree,272,1.1450906872046136,0.874045203672722,272.0,0.6840847580184948,0.7298807774095992,234,1.1524017104674753,0.9026688611946809,234.0,0.6139032680865542,0.6569350287808,272,0.8602941176470589,0.8480336440100023,0.872093023255814,0.9036144578313253,0.8875739644970415,0.8680381904978404,0.851885620119844
val,mask_unresolved,43,within_gene_canonical,14,1.2229118223081321,0.8935525247028896,14.0,0.5476718403547672,0.5450584458259391,12,0.9236293637089014,0.726998527844747,12.0,0.5035460992907801,0.5635185179832273,14,0.7857142857142857,0.75,0.7272727272727273,1.0,0.8421052631578948,0.8541666666666666,0.9068813131313131
val,mask_unresolved,43,cross_gene_unresolved,65,0.6175837874846857,0.5204090801569131,65.0,0.8561980269574743,0.9271177774425137,36,0.7284659572503492,0.5885122128658824,36.0,0.8381235808939743,0.8530026882163098,65,0.9538461538461539,0.9534632034632035,0.9090909090909091,0.9523809523809523,0.9302325581395349,0.9956709956709957,0.99121068717342
val,mask_unresolved,43,within_gene_unresolved,8,1.1974159935388207,1.0697209490463138,8.0,0.6037034299432968,0.9313371240163355,7,1.279565769096827,1.208672552236489,7.0,0.39821643528494194,0.35158703400542285,8,1.0,1.0,1.0,1.0,1.0,1.0,1.0
val,mask_unresolved,43,unresolved_union,73,0.704798360742771,0.5806076411310941,73.0,0.8712825476608621,0.9363530249514791,43,0.8430961121177456,0.6894685471820277,43.0,0.860894929584411,0.868370465135468,73,0.958904109589041,0.959920634920635,0.9310344827586207,0.9642857142857143,0.9473684210526316,0.9968253968253968,0.9950207860922147
val,mask_unresolved,43,unmapped,602,0.9734008558834555,0.6871977113806133,602.0,0.754381799388186,0.7796550620151343,427,1.071452159270144,0.8143046845876082,427.0,0.7083368210613445,0.7107472742644508,602,0.867109634551495,0.8713039125339886,0.8050541516245487,0.8955823293172691,0.8479087452471483,0.9297871372174249,0.8809646423652082
