path,split,task,metric,n,n_positive,tied_groups,tied_rows,old_ap,new_ap,delta,archived_ap,status
experiments/2026-09-02_1720_codex_source-junction-masking/results/runs/presto-source-junction-mask-20260902b-legacy-e010-s42/val_predictions.csv,val,foreignness,mapping_within_gene_unresolved_auprc,5,2,1,2,0.5833333333333333,0.6666666666666666,0.08333333333333337,0.5833333333333333,verified_correction
experiments/2026-09-02_1720_codex_source-junction-masking/results/runs/presto-source-junction-mask-20260902b-legacy-e010-s43/test_predictions.csv,test,binding,threshold_500nm_auprc,1667,725,472,1031,0.8706642737644751,0.8699592545402234,-0.0007050192242517017,0.8706642737644751,verified_correction
experiments/2026-09-02_1720_codex_source-junction-masking/results/runs/presto-source-junction-mask-20260902b-legacy-e010-s43/test_predictions.csv,test,binding,mapping_cross_gene_unresolved_threshold_500nm_auprc,23,12,4,9,0.9337454212454213,0.9351190476190476,0.0013736263736263687,0.9337454212454213,verified_correction
experiments/2026-09-02_1720_codex_source-junction-masking/results/runs/presto-source-junction-mask-20260902b-legacy-e010-s43/test_predictions.csv,test,binding,mapping_flanks_agree_threshold_500nm_auprc,231,151,61,171,0.9160368185614587,0.9132709098362781,-0.002765908725180566,0.9160368185614587,verified_correction
experiments/2026-09-02_1720_codex_source-junction-masking/results/runs/presto-source-junction-mask-20260902b-legacy-e010-s43/test_predictions.csv,test,binding,mapping_single_threshold_500nm_auprc,780,296,325,672,0.857539258424639,0.8566907889682559,-0.0008484694563830608,0.857539258424639,verified_correction
experiments/2026-09-02_1720_codex_source-junction-masking/results/runs/presto-source-junction-mask-20260902b-legacy-e010-s43/test_predictions.csv,test,binding,mapping_unmapped_threshold_500nm_auprc,616,258,78,169,0.8560883478138,0.8560229052861716,-6.544252762841207e-05,0.8560883478138,verified_correction
experiments/2026-09-02_1720_codex_source-junction-masking/results/runs/presto-source-junction-mask-20260902b-legacy-e010-s43/test_predictions.csv,test,binding,mapping_within_gene_canonical_threshold_500nm_auprc,13,4,2,6,0.8875,0.9,0.012500000000000067,0.8875,verified_correction
experiments/2026-09-02_1720_codex_source-junction-masking/results/runs/presto-source-junction-mask-20260902b-legacy-e010-s43/test_predictions.csv,test,binding_kd,threshold_500nm_auprc,127,50,0,0,0.9491081803308735,0.9491081803308735,0.0,0.9491081803308735,verified_unchanged
experiments/2026-09-02_1720_codex_source-junction-masking/results/runs/presto-source-junction-mask-20260902b-legacy-e010-s43/test_predictions.csv,test,binding_kd,mapping_cross_gene_unresolved_threshold_500nm_auprc,3,1,0,0,1.0,1.0,0.0,1.0,verified_unchanged
experiments/2026-09-02_1720_codex_source-junction-masking/results/runs/presto-source-junction-mask-20260902b-legacy-e010-s43/test_predictions.csv,test,binding_kd,mapping_flanks_agree_threshold_500nm_auprc,11,10,0,0,0.9909090909090909,0.9909090909090909,0.0,0.9909090909090909,verified_unchanged
experiments/2026-09-02_1720_codex_source-junction-masking/results/runs/presto-source-junction-mask-20260902b-legacy-e010-s43/test_predictions.csv,test,binding_kd,mapping_single_threshold_500nm_auprc,11,6,0,0,1.0,1.0,0.0,1.0,verified_unchanged
experiments/2026-09-02_1720_codex_source-junction-masking/results/runs/presto-source-junction-mask-20260902b-legacy-e010-s43/test_predictions.csv,test,binding_kd,mapping_unmapped_threshold_500nm_auprc,101,33,0,0,0.943322259896361,0.943322259896361,0.0,0.943322259896361,verified_unchanged
experiments/2026-09-02_1720_codex_source-junction-masking/results/runs/presto-source-junction-mask-20260902b-legacy-e010-s43/test_predictions.csv,test,binding_ic50,threshold_500nm_auprc,753,340,50,123,0.8473182910472022,0.8460562087510566,-0.0012620822961456613,0.8473182910472022,verified_correction
experiments/2026-09-02_1720_codex_source-junction-masking/results/runs/presto-source-junction-mask-20260902b-legacy-e010-s43/test_predictions.csv,test,binding_ic50,mapping_cross_gene_unresolved_threshold_500nm_auprc,13,8,2,5,0.9704861111111112,0.9704861111111112,0.0,0.9704861111111112,verified_unchanged
