split,seed,scope,metric,legacy,masked,delta_masked_minus_legacy
val,43,unresolved_union,all_spearman,0.8629588883924502,0.8738280569680875,0.010869168575637356
val,43,unresolved_union,all_pearson,0.9460941954111336,0.9364638074649185,-0.009630387946215069
val,43,unresolved_union,all_rmse,0.6629776558021462,0.7039716172825642,0.040993961480418006
val,43,unresolved_union,exact_spearman,0.8817550323512165,0.860894929584411,-0.0208601027668055
val,43,unresolved_union,exact_pearson,0.8907556196103954,0.8685774222419625,-0.02217819736843285
val,43,unresolved_union,exact_rmse,0.7844349345683703,0.842226643546989,0.05779170897861863
val,43,unresolved_union,threshold_500nm_accuracy,0.9863013698630136,0.958904109589041,-0.0273972602739726
val,43,unresolved_union,threshold_500nm_balanced_accuracy,0.9888888888888889,0.959920634920635,-0.028968253968253976
val,43,unresolved_union,threshold_500nm_precision,0.9655172413793104,0.9310344827586207,-0.034482758620689724
val,43,unresolved_union,threshold_500nm_recall,1.0,0.9642857142857143,-0.0357142857142857
val,43,unresolved_union,threshold_500nm_f1,0.9824561403508771,0.9473684210526316,-0.0350877192982455
val,43,unresolved_union,threshold_500nm_auroc,0.9992063492063492,0.9968253968253968,-0.0023809523809523725
val,43,unresolved_union,threshold_500nm_auprc,0.9987684729064039,0.9950207860922147,-0.003747686814189244
val,43,unmapped,all_spearman,0.7568545525091556,0.7491294991063212,-0.007725053402834359
val,43,unmapped,all_pearson,0.7880609304115137,0.7803924540980812,-0.007668476313432482
val,43,unmapped,all_rmse,0.9409470887085097,0.9681375124000012,0.027190423691491494
val,43,unmapped,exact_spearman,0.7068432001136732,0.706096035643486,-0.0007471644701871893
val,43,unmapped,exact_pearson,0.7158297027325118,0.7137367053778171,-0.0020929973546947034
val,43,unmapped,exact_rmse,1.0534341713880067,1.0634949749300513,0.010060803542044638
val,43,unmapped,threshold_500nm_accuracy,0.8737541528239202,0.8637873754152824,-0.009966777408637828
val,43,unmapped,threshold_500nm_balanced_accuracy,0.876969634913592,0.8702458559450266,-0.006723778968565464
val,43,unmapped,threshold_500nm_precision,0.8168498168498168,0.7929824561403509,-0.023867360709465935
val,43,unmapped,threshold_500nm_recall,0.8955823293172691,0.9076305220883534,0.012048192771084265
val,43,unmapped,threshold_500nm_f1,0.8544061302681992,0.8464419475655431,-0.007964182702656086
val,43,unmapped,threshold_500nm_auroc,0.9323583284981285,0.929343436067215,-0.003014892430913463
val,43,unmapped,threshold_500nm_auprc,0.8856712066689503,0.8809803890734348,-0.004690817595515484
val,44,overall,all_spearman,0.8113519218552488,0.819047379230692,0.007695457375443193
val,44,overall,all_pearson,0.8232502288635177,0.8295046111932262,0.00625438232970843
val,44,overall,all_rmse,0.9033129640645734,0.889036001695123,-0.014276962369450419
val,44,overall,exact_spearman,0.7958203577013458,0.8051974470764747,0.009377089375128822
val,44,overall,exact_pearson,0.7910980467329747,0.7975147365819157,0.0064166898489410595
val,44,overall,exact_rmse,0.9602572126148557,0.9500817669510244,-0.010175445663831328
val,44,overall,threshold_500nm_accuracy,0.860381861575179,0.8705250596658711,0.010143198090692085
val,44,overall,threshold_500nm_balanced_accuracy,0.8607571601009547,0.8684728775741615,0.007715717473206762
val,44,overall,threshold_500nm_precision,0.8142664872139973,0.8379888268156425,0.02372233960164516
val,44,overall,threshold_500nm_recall,0.8630527817403709,0.8559201141226819,-0.007132667617689048
val,44,overall,threshold_500nm_f1,0.837950138504155,0.8468595624558928,0.008909423951737772
val,44,overall,threshold_500nm_auroc,0.9331723910896521,0.9351417389077874,0.001969347818135292
