split,scope,metric,mean_delta_masked_minus_legacy,std_delta,min_delta,max_delta,n_seeds
val,unmapped,threshold_500nm_auprc,-0.005572517315257171,0.011357146008895482,-0.01734481543519284,0.00531808108493681,3
test,overall,all_spearman,0.00018966637881027518,0.012434520407153498,-0.012111723816319975,0.012753172654500156,3
test,overall,all_pearson,-0.0012305175959801777,0.01055554205282485,-0.013258343153532248,0.0064916186157157885,3
test,overall,all_rmse,0.00355152269692253,0.029365448926230713,-0.015530817779223272,0.037366707891392736,3
test,overall,exact_spearman,0.002161810391649458,0.013471121510717114,-0.012553910888202457,0.013885077675496516,3
test,overall,exact_pearson,-0.00012627968371052103,0.012311198036100942,-0.014340670120450816,0.007150990424120818,3
test,overall,exact_rmse,0.0036736648515128443,0.02444137181255288,-0.016234272736157074,0.03095207221730545,3
test,overall,threshold_500nm_accuracy,-0.004142911639844778,0.016786844500315683,-0.023391812865497075,0.007458405048766492,3
test,overall,threshold_500nm_balanced_accuracy,-0.005895642803321037,0.013940100939121104,-0.021919761199349574,0.003438209273865289,3
test,overall,threshold_500nm_precision,0.0027941815536714674,0.032944093586485396,-0.03408031560954283,0.029325680962574707,3
test,overall,threshold_500nm_recall,-0.01640450022830775,0.006169456694721099,-0.023004059539918797,-0.010781671159029727,3
test,overall,threshold_500nm_f1,-0.006549346373059188,0.014575757080794456,-0.023320756846492596,0.00305805339464138,3
test,overall,threshold_500nm_auroc,-1.8562205835811103e-05,0.006231042238465255,-0.006157971531041917,0.006300238828178428,3
test,overall,threshold_500nm_auprc,-0.0018590067751018309,0.006465793986250791,-0.00928821208555064,0.00249721353420973,3
test,single,all_spearman,0.004375808164376623,0.013017603574017614,-0.00811455130540073,0.017863307489499047,3
test,single,all_pearson,0.002019824382877955,0.01506080293704548,-0.015362824227474814,0.011169875813117236,3
test,single,all_rmse,0.0003559890328839188,0.038429118523442565,-0.028219593271008647,0.04404402206281299,3
test,single,exact_spearman,0.005674467610289706,0.01630030114682362,-0.01070084349602407,0.021898708701205583,3
test,single,exact_pearson,0.0046650788776555485,0.017539543063191738,-0.015557907549012873,0.015729822244751057,3
test,single,exact_rmse,-0.002883464295057925,0.03654899283164286,-0.03089440492490325,0.038460061561196524,3
test,single,threshold_500nm_accuracy,-0.0071927755470536274,0.016065610166876385,-0.025367156208277786,0.005115089514066473,3
test,single,threshold_500nm_balanced_accuracy,-0.012348434439847048,0.010018201596834945,-0.023873037964896038,-0.005718954248365993,3
test,single,threshold_500nm_precision,0.0064108012915867025,0.04953802264434238,-0.04278673835125446,0.05628242725016919,3
test,single,threshold_500nm_recall,-0.03292181069958847,0.01984290280039695,-0.05555555555555547,-0.0185185185185186,3
test,single,threshold_500nm_f1,-0.015112333205717476,0.013987709697129324,-0.03125918091544744,-0.006699050041347854,3
test,single,threshold_500nm_auroc,0.001318797891892672,0.0071820308289822846,-0.00414443671228637,0.009453781512605008,3
test,single,threshold_500nm_auprc,0.0045076936906758664,0.019857070241836024,-0.011780838182869569,0.026627510981244273,3
test,flanks_agree,all_spearman,0.004718571502977238,0.021192037469913952,-0.016915716316813434,0.025438777819223435,3
test,flanks_agree,all_pearson,-0.008798690339085239,0.019133321812408417,-0.030834135356610948,0.003602280425373139,3
test,flanks_agree,all_rmse,0.018669483623445227,0.030637247113464865,-0.0028721984219053365,0.05374274966265491,3
test,flanks_agree,exact_spearman,0.005834149187041504,0.03947723201002882,-0.03067957202373983,0.04772388878927991,3
test,flanks_agree,exact_pearson,-0.004249434779364329,0.03906667835451125,-0.04781399201920011,0.027671994299425406,3
test,flanks_agree,exact_rmse,0.012363644599985069,0.04006040234636592,-0.0180209052208955,0.05776221331303444,3
test,flanks_agree,threshold_500nm_accuracy,-0.004951006764500443,0.01847455992550447,-0.026200873362445476,0.007299270072992692,3
test,flanks_agree,threshold_500nm_balanced_accuracy,-0.0029128836738603336,0.019589768964500185,-0.025454260651629035,0.009992977907416378,3
test,flanks_agree,threshold_500nm_precision,0.0035146231838938022,0.018457344066501263,-0.01701412592553697,0.018738977072310425,3
test,flanks_agree,threshold_500nm_recall,-0.016634613383839352,0.012060556703666882,-0.03007518796992481,-0.006756756756756688,3
test,flanks_agree,threshold_500nm_f1,-0.005854807648721668,0.015162528422653147,-0.023311546840958597,0.004035009642486376,3
test,flanks_agree,threshold_500nm_auroc,0.0026757923693612184,0.015048686734262455,-0.013549498746867172,0.016175266175266212,3
test,flanks_agree,threshold_500nm_auprc,-0.007021989033273964,0.01629197818950875,-0.01837348163561703,0.01164553409409197,3
